date,crop_type,location,temperature,humidity,rainfall,soil_moisture,ph_level,nitrogen,phosphorus,potassium,yield,price,year,month,season,quarter,temp_stress,humidity_stress,weather_stress_score,soil_health_score,market_demand,price_trend
2019-01-01,Rice,Madhya Pradesh,20.3,45.7,1.2,49.3,6.37,295.0,86.0,160.0,111.8,3101.43,2019,1,1,1,0,0,0,0.4995833333333334,medium,rising
2019-01-02,Cotton,Haryana,20.9,46.6,1.8,53.1,6.81,209.0,105.0,146.0,127.6,4889.19,2019,1,1,1,0,0,0,0.35624999999999996,medium,falling
2019-01-02,Soybeans,Uttar Pradesh,21.3,47.3,4.3,57.6,6.6,245.0,81.0,160.0,99.7,5053.73,2019,1,1,1,0,0,0,0.3866666666666666,medium,rising
2019-01-03,Soybeans,Gujarat,24.4,45.9,7.4,52.9,7.17,215.0,80.0,143.0,93.0,4257.51,2019,1,1,1,0,0,0,0.3229166666666667,medium,falling
2019-01-03,Corn,Gujarat,26.7,29.7,8.4,59.4,6.39,178.0,133.0,96.0,102.0,1605.62,2019,1,1,1,0,1,1,0.15291666666666665,medium,falling
2019-01-03,Rice,Karnataka,18.9,34.7,1.7,49.8,6.82,215.0,106.0,258.0,90.0,2946.92,2019,1,1,1,0,1,1,0.7491666666666668,medium,rising
2019-01-04,Cotton,Punjab,14.3,46.8,3.5,51.1,6.68,287.0,90.0,223.0,100.6,7622.02,2019,1,1,1,1,0,1,0.7416666666666667,medium,rising
2019-01-04,Wheat,Maharashtra,19.1,51.4,2.9,43.4,6.0,299.0,122.0,228.0,112.9,2559.94,2019,1,1,1,0,0,0,0.81,medium,rising
2019-01-05,Cotton,Haryana,21.1,44.3,1.1,58.0,7.02,286.0,102.0,194.0,124.7,6210.48,2019,1,1,1,0,0,0,0.725,medium,falling
2019-01-06,Soybeans,Uttar Pradesh,19.8,51.7,0.4,41.5,6.55,164.0,113.0,133.0,98.1,4756.76,2019,1,1,1,0,0,0,0.19458333333333333,medium,rising
